RID,age,income,student,credit_rating,buys
1,youth,high,no,excellent,no
2,youth,high,no,fair,no
3,middle_aged,high,no,fair,yes
4,senior,medium,no,excellent,no
5,senior,low,yes,fair,no
6,senior,low,yes,excellent,yes
7,middle_aged,low,yes,fair,yes
8,youth,medium,no,fair,no
9,youth,low,yes,excellent,yes
10,senior,medium,yes,fair,no
11,youth,medium,yes,fair,yes
12,middle_aged,medium,no,excellent,yes
13,middle_aged,high,yes,fair,yes
14,senior,medium,no,excellent,yes
15,youth,medium,no,fair,no
16,senior,high,no,fair,no
17,youth,high,no,excellent,yes
18,senior,high,no,fair,no
19,senior,medium,no,excellent,no
20,senior,low,yes,fair,no
21,senior,low,yes,excellent,no
22,middle_aged,low,yes,excellent,yes
23,youth,medium,no,fair,yes
24,youth,low,yes,fair,yes
25,middle_aged,medium,yes,excellent,no
26,youth,medium,yes,excellent,yes
27,middle_aged,medium,no,excellent,no
28,middle_aged,high,yes,fair,yes
29,senior,medium,no,excellent,yes
30,youth,medium,no,excellent,no
31,senior,high,no,fair,yes
32,youth,high,no,excellent,no
33,middle_aged,high,no,fair,yes
34,senior,medium,no,fair,no
35,senior,low,yes,fair,yes
36,middle_aged,low,yes,excellent,yes
37,middle_aged,low,yes,excellent,yes
38,youth,medium,no,fair,no
39,youth,low,yes,fair,no
40,senior,medium,yes,fair,no
41,youth,medium,yes,excellent,yes
42,youth,medium,no,excellent,no
43,middle_aged,high,yes,fair,yes
44,senior,medium,no,fair,yes
45,youth,medium,no,excellent,no
46,youth,high,no,fair,yes
47,senior,high,no,excellent,no
48,middle_aged,high,no,fair,yes
49,senior,medium,no,fair,no
50,senior,low,yes,fair,yes
51,senior,low,yes,excellent,yes
52,middle_aged,low,yes,excellent,yes
53,youth,medium,no,fair,no
54,senior,low,yes,fair,yes
55,senior,medium,yes,excellent,yes
56,youth,medium,yes,excellent,yes
57,middle_aged,medium,no,excellent,yes
58,youth,high,yes,fair,no
59,senior,medium,no,excellent,yes
60,youth,medium,no,excellent,no
61,youth,high,no,fair,no
62,youth,high,no,excellent,no
63,middle_aged,high,no,fair,yes
64,senior,medium,no,excellent,no
65,senior,low,yes,fair,yes
66,senior,low,yes,excellent,yes
67,middle_aged,low,yes,fair,yes
68,youth,medium,no,fair,no
69,youth,low,yes,fair,yes
70,senior,medium,yes,fair,no
71,youth,medium,yes,fair,yes
72,senior,medium,no,excellent,no
73,middle_aged,high,yes,fair,yes
74,senior,medium,no,excellent,yes
75,youth,medium,no,excellent,no
76,youth,high,no,fair,no
77,youth,high,no,fair,no
78,middle_aged,high,no,fair,yes
79,senior,medium,no,fair,no
80,senior,low,yes,fair,no
81,senior,low,yes,excellent,yes
82,middle_aged,low,yes,excellent,no
83,youth,medium,no,fair,no
84,youth,low,yes,excellent,yes
85,senior,medium,yes,fair,yes
86,youth,medium,yes,excellent,yes
87,middle_aged,medium,no,excellent,yes
88,middle_aged,high,yes,fair,yes
89,senior,medium,no,excellent,yes
90,youth,medium,no,excellent,no
91,youth,high,no,fair,yes
92,youth,high,no,excellent,no
93,middle_aged,high,no,fair,yes
94,senior,medium,no,fair,no
95,senior,low,yes,excellent,no
96,senior,low,yes,excellent,yes
97,middle_aged,low,yes,excellent,yes
98,senior,medium,no,fair,no
99,youth,low,yes,fair,yes
100,youth,medium,yes,fair,no
101,youth,medium,yes,excellent,no
102,middle_aged,medium,no,excellent,yes
103,youth,high,yes,fair,yes
104,senior,medium,no,excellent,no
105,youth,medium,no,excellent,no
